object,goal,model,jsd
african-kanzu,entertaining,noun,0.13735363201866727
african-kanzu,informative,noun,0.1713873696524521
almas-caviar,entertaining,noun,0.2465309811730363
almas-caviar,informative,noun,0.2785610258247553
cuenca,entertaining,noun,0.23951470733282587
cuenca,informative,noun,0.2521155898380884
dugong,entertaining,noun,0.193532827150955
dugong,informative,noun,0.20647958623551435
indonesian-kebaya,entertaining,noun,0.20209611723298418
indonesian-kebaya,informative,noun,0.20308830051526267
kopi-luwak,entertaining,noun,0.228317022696899
kopi-luwak,informative,noun,0.23281364250724232
lichinga,entertaining,noun,0.2479465024059694
lichinga,informative,noun,0.2403395607133707
mongolian-deel,entertaining,noun,0.213523457679286
mongolian-deel,informative,noun,0.20123526274604658
murnong,entertaining,noun,0.23796722815929214
murnong,informative,noun,0.243770009791525
saola,entertaining,noun,0.2359685898898289
saola,informative,noun,0.23442042795903784
vaquita,entertaining,noun,0.22127813682836578
vaquita,informative,noun,0.23557494019135883
vilnius,entertaining,noun,0.19563340140628083
vilnius,informative,noun,0.22277792558259532
african-kanzu,entertaining,noun2,0.2522011485198926
african-kanzu,informative,noun2,0.27040997843407416
almas-caviar,entertaining,noun2,0.3565870332555099
almas-caviar,informative,noun2,0.3721388438002683
cuenca,entertaining,noun2,0.3318516366784634
cuenca,informative,noun2,0.3428026642508046
dugong,entertaining,noun2,0.3439902487083154
dugong,informative,noun2,0.35683339348601245
indonesian-kebaya,entertaining,noun2,0.2844312570536703
indonesian-kebaya,informative,noun2,0.3003742031418766
kopi-luwak,entertaining,noun2,0.38854316531859096
kopi-luwak,informative,noun2,0.3584953273864273
lichinga,entertaining,noun2,0.3150107742496124
lichinga,informative,noun2,0.3155655512364993
mongolian-deel,entertaining,noun2,0.3035908497394999
mongolian-deel,informative,noun2,0.30236572265882056
murnong,entertaining,noun2,0.3846322506041415
murnong,informative,noun2,0.38963269610955736
saola,entertaining,noun2,0.35151264132501103
saola,informative,noun2,0.3427477948013397
vaquita,entertaining,noun2,0.3641627301751717
vaquita,informative,noun2,0.371928966543374
vilnius,entertaining,noun2,0.2939691607413341
vilnius,informative,noun2,0.31321850918581445
african-kanzu,entertaining,freq,0.5805812378129819
african-kanzu,informative,freq,0.5887966340566049
almas-caviar,entertaining,freq,0.4734976521803009
almas-caviar,informative,freq,0.480667576450225
cuenca,entertaining,freq,0.5445470932983715
cuenca,informative,freq,0.515504852595242
dugong,entertaining,freq,0.669470920813815
dugong,informative,freq,0.6451336617459313
indonesian-kebaya,entertaining,freq,0.4679605546487985
indonesian-kebaya,informative,freq,0.46448448732669734
kopi-luwak,entertaining,freq,0.4714273034020104
kopi-luwak,informative,freq,0.4942591581251551
lichinga,entertaining,freq,0.5045075574273526
lichinga,informative,freq,0.5013631250441285
mongolian-deel,entertaining,freq,0.5750807881662571
mongolian-deel,informative,freq,0.566986062656261
murnong,entertaining,freq,0.5950381940512378
murnong,informative,freq,0.5914620008091865
saola,entertaining,freq,0.6898339727203487
saola,informative,freq,0.6859084560456276
vaquita,entertaining,freq,0.6625430659102464
vaquita,informative,freq,0.6510907976902433
vilnius,entertaining,freq,0.6840784951420016
vilnius,informative,freq,0.6668557306159271
african-kanzu,entertaining,token,0.5594385278197183
african-kanzu,informative,token,0.5560716054682912
almas-caviar,entertaining,token,0.4736649249906518
almas-caviar,informative,token,0.5456703109989022
cuenca,entertaining,token,0.5483460811300038
cuenca,informative,token,0.60684234467929
dugong,entertaining,token,0.5371174133663641
dugong,informative,token,0.5912008132494787
indonesian-kebaya,entertaining,token,0.4257712440528178
indonesian-kebaya,informative,token,0.4375075180925978
kopi-luwak,entertaining,token,0.45740730031514787
kopi-luwak,informative,token,0.48664924461955317
lichinga,entertaining,token,0.5410502371959613
lichinga,informative,token,0.5740985654448351
mongolian-deel,entertaining,token,0.5033083349509988
mongolian-deel,informative,token,0.535105014084893
murnong,entertaining,token,0.6395046667061357
murnong,informative,token,0.6578605125590016
saola,entertaining,token,0.5703488554819908
saola,informative,token,0.5633507863918495
vaquita,entertaining,token,0.5257378450632372
vaquita,informative,token,0.5442470202337348
vilnius,entertaining,token,0.5507597931597531
vilnius,informative,token,0.6180263668717174
african-kanzu,entertaining,sentKey,0.6471457187261929
african-kanzu,informative,sentKey,0.6625981507157723
almas-caviar,entertaining,sentKey,0.5430544068223779
almas-caviar,informative,sentKey,0.5826621576344511
cuenca,entertaining,sentKey,0.7223089058518333
cuenca,informative,sentKey,0.7142187436773427
dugong,entertaining,sentKey,0.6669185724081573
dugong,informative,sentKey,0.6675137269000964
indonesian-kebaya,entertaining,sentKey,0.6000993117766074
indonesian-kebaya,informative,sentKey,0.6082927360860102
kopi-luwak,entertaining,sentKey,0.49184861555729453
kopi-luwak,informative,sentKey,0.4862895203772286
lichinga,entertaining,sentKey,0.6222197451035102
lichinga,informative,sentKey,0.6165100091036908
mongolian-deel,entertaining,sentKey,0.6454312295118846
mongolian-deel,informative,sentKey,0.6225243360859062
murnong,entertaining,sentKey,0.5794900439906305
murnong,informative,sentKey,0.6146223133852784
saola,entertaining,sentKey,0.6701843321603895
saola,informative,sentKey,0.6479571247871573
vaquita,entertaining,sentKey,0.6062063621333927
vaquita,informative,sentKey,0.5849232266887802
vilnius,entertaining,sentKey,0.619296539688412
vilnius,informative,sentKey,0.6601161393602994
african-kanzu,entertaining,chatGPT,0.6036513946665829
african-kanzu,informative,chatGPT,0.4895256064645048
almas-caviar,entertaining,chatGPT,0.4188084294548683
almas-caviar,informative,chatGPT,0.46388361849461984
cuenca,entertaining,chatGPT,0.5144562956315868
cuenca,informative,chatGPT,0.5828273286526773
dugong,entertaining,chatGPT,0.5003633000267665
dugong,informative,chatGPT,0.593534748009503
indonesian-kebaya,entertaining,chatGPT,0.5220115487001478
indonesian-kebaya,informative,chatGPT,0.5286670828553575
kopi-luwak,entertaining,chatGPT,0.6021568833006138
kopi-luwak,informative,chatGPT,0.5345455824867319
lichinga,entertaining,chatGPT,0.457197088843182
lichinga,informative,chatGPT,0.6042835311907178
mongolian-deel,entertaining,chatGPT,0.48042309213963785
mongolian-deel,informative,chatGPT,0.5628634449860571
murnong,entertaining,chatGPT,0.5439036292349702
murnong,informative,chatGPT,0.6539032896447604
saola,entertaining,chatGPT,0.6467271951135363
saola,informative,chatGPT,0.668525027107919
vaquita,entertaining,chatGPT,0.6296292001722678
vaquita,informative,chatGPT,0.6062839091559227
vilnius,entertaining,chatGPT,0.601931080629935
vilnius,informative,chatGPT,0.5470178382034196
african-kanzu,entertaining,chatGPT4,0.5133826934710735
african-kanzu,informative,chatGPT4,0.6217948644805308
almas-caviar,entertaining,chatGPT4,0.3632561378934895
almas-caviar,informative,chatGPT4,0.5382531024479376
cuenca,entertaining,chatGPT4,0.5016653922070361
cuenca,informative,chatGPT4,0.5811683227066421
dugong,entertaining,chatGPT4,0.5177936484691922
dugong,informative,chatGPT4,0.6395384713430604
indonesian-kebaya,entertaining,chatGPT4,0.49904451396063526
indonesian-kebaya,informative,chatGPT4,0.5978036412907051
kopi-luwak,entertaining,chatGPT4,0.5355518156440132
kopi-luwak,informative,chatGPT4,0.6032783977075782
lichinga,entertaining,chatGPT4,0.4232254181921969
lichinga,informative,chatGPT4,0.5868665937847182
mongolian-deel,entertaining,chatGPT4,0.4344544224763001
mongolian-deel,informative,chatGPT4,0.5938168629794922
murnong,entertaining,chatGPT4,0.5641317197748317
murnong,informative,chatGPT4,0.6427740714210292
saola,entertaining,chatGPT4,0.56962195795466
saola,informative,chatGPT4,0.6154600743728461
vaquita,entertaining,chatGPT4,0.6105517681637558
vaquita,informative,chatGPT4,0.5994785207360616
vilnius,entertaining,chatGPT4,0.46785245736468106
vilnius,informative,chatGPT4,0.6115354050772154
