object,goal,gameID,word,group,count
african-kanzu,entertaining,8406-13ffe9b6-251f-4f56-8fc8-b712d979318c,"['African', 'kanzu', 'long', 'tunic-like', 'shirt', 'matching', 'cap', 'East', 'Africa', 'Muslim', 'symbol', 'of', 'cultural', 'pride', 'significant', 'life', 'events', 'embroidery', 'matching', 'fabric']",1,20
african-kanzu,entertaining,0984-3d906faa-4f08-4404-ae1c-9fc3321c2af8,"['African', 'kanzu', 'traditional', 'and', 'dignified', 'garment', 'flowing', 'and', 'loose-fitting', 'design', 'long', 'tunic-like', 'shirt', 'that', 'reaches', 'down', 'to', 'the', 'ankles', 'kanzus']",2,20
african-kanzu,entertaining,0485-64fe306d-adb9-4ed7-beea-3fc9eb6a5220,"['flowing', 'and', 'loose-fitting', 'design', 'simplicity', 'clean', 'lines', 'and', 'modest', 'silhouette', 'during', 'prayer', 'and', 'special', 'occasions', 'religious', 'holidays', 'embroidery', 'decorative', 'elements']",1,20
african-kanzu,entertaining,8066-9e737fc6-8c08-4517-b587-44add16cd700,"['loose-fitting', 'design', 'It', 'typically', 'consists', 'of', 'a', 'long', 'tunic-like', 'shirt', 'that', 'reaches', 'down', 'to', 'the', 'ankles', 'often']",2,17
african-kanzu,entertaining,1470-f083a95c-084d-4325-a060-8b155e50b900,"['African', 'kanzu', 'flowing', 'and', 'loose-fitting', 'design', 'long', 'tunic-like', 'shirt', 'reaches', 'down', 'to', 'the', 'ankles', 'matching', 'cap', 'breathable', 'fabrics']",1,18
african-kanzu,entertaining,6241-6fe3bd36-b487-4dda-abbe-8beecea29375,"['African', 'kanzu', 'Swahili', 'culture', 'Muslim', 'men', 'during', 'prayer', 'and', 'special', 'occasions', 'weddings', 'symbolizing', 'the', 'grooms', 'formal', 'attire', 'lightweight', 'breathable', 'fabrics']",2,20
african-kanzu,entertaining,1978-ff6b095b-fa06-469e-a406-4f74c6cedf49,"['flowing', 'loose-fitting', 'weddings', 'Eid', 'al-Fitr', 'Eid', 'al-Adha', 'embroidery', 'skill', 'cap', 'embellishments', 'Skilled', 'artisans', 'infusing', 'Islamic', 'Arabian', 'prayer', 'celebrations', 'holidays']",1,19
african-kanzu,entertaining,3018-da8a6409-18cd-462f-babc-29e5f1b33295,"['African', 'kanzu', 'Swahili', 'culture', 'blend', 'of', 'local', 'and', 'Arabian', 'styles', 'significant', 'life', 'events', 'decorative', 'elements', 'religious', 'holidays']",2,17
african-kanzu,entertaining,7868-a6efb7e9-4e3d-4ac8-b50d-79a44027d7d8,"['garment', 'flowing', 'cotton', 'or', 'linen', 'loose-fitting', 'East', 'Africa', 'warm', 'climate', 'warm', 'climate', 'historical', 'religious', 'importance', 'prayer', 'special', 'occasions']",1,18
african-kanzu,entertaining,3143-8c3d38e3-ebaf-47af-9b9d-be5efc863e32,"['African', 'kanzu', 'Africa', 'simplicity', 'simplicity', 'grooms', 'formal', 'attire', 'during', 'significant', 'life', 'events', 'and', 'religious', 'holidays']",2,15
african-kanzu,entertaining,5957-3c358701-b161-4bbe-86ca-e56abb8d4d75,"['African', 'kanzu', 'kofia', 'coastal', 'regions', 'of', 'East', 'Africa', 'weddings', 'religious', 'holidays', 'like', 'Eid', 'al-Fitr', 'and', 'Eid', 'al-Adha', 'cultural', 'pride']",1,19
african-kanzu,entertaining,1067-1b46a9cf-3c5b-45bf-87f8-9fe46be83f2a,"['modest', 'silhouette', 'Swahili', 'culture', 'Islamic', 'culture', 'East', 'African', 'coastal', 'areas', 'Muslim', 'men', 'during', 'prayer', 'celebrations', 'kofia', 'kanzu', 'Eid', 'al-Fitr', 'weddings']",2,20
african-kanzu,entertaining,3834-c1a52111-b314-4209-8245-c3ea31f279af,"['flowing', 'loose-fitting', 'weddings', 'Eid', 'al-Fitr', 'Eid', 'al-Adha', 'Kenya', 'Tanzania', 'Uganda', 'sewing', 'influence', 'of', 'Islamic', 'culture', 'symbol', 'cultural', 'pride', 'cultural', 'pride']",1,20
african-kanzu,entertaining,1383-79c6a501-0ee3-43e7-aa74-f396f13eb3ee,"['kanzu', 'flowing', 'cotton', 'embroidery', 'kofia', 'tunic-like', 'matching', 'cap', 'East', 'Africa', 'men', 'Islamic', 'culture', 'Muslim', 'men', 'religious', 'importance', 'religious', 'holidays']",2,19
african-kanzu,entertaining,3867-9a6d6db6-a616-4749-91ce-268d2f83bd4c,"['African', 'kanzu', 'using', 'traditional', 'sewing', 'techniques', 'Eid', 'al-Fitr', 'and', 'Eid', 'al-Adha', 'accompanying', 'cap', 'known', 'as', 'a', 'kofia']",1,17
african-kanzu,entertaining,7237-a0de4dc0-0013-46b4-9860-c95255048921,"['African', 'kanzu', 'traditional', 'cap', 'kofia', 'significant', 'holidays', 'tunic-like', 'coastal', 'regions', 'of', 'East', 'Africa', 'Islamic', 'culture', 'Muslim', 'symbol', 'cotton', 'linen', 'embroidery']",2,20
african-kanzu,entertaining,0016-72d2e204-9fc5-4290-adee-5a773cc0b568,"['Eid', 'al-Fitr', 'and', 'Eid', 'al-Adha', 'subtle', 'embroidery', 'or', 'decorative', 'elements', 'clean', 'lines', 'and', 'modest', 'silhouette']",1,15
african-kanzu,entertaining,5878-ac638c37-05ae-4bb9-a9db-4c6ba8f3a8f0,"['kanzu', 'silhouette', 'kofia', 'fabric', 'subtle', 'embellishments', 'Arabian', 'styles', 'artisans', 'Islamic', 'Islamic', 'ceremonies', 'weddings', 'Muslim', 'linen', 'cotton']",2,16
african-kanzu,entertaining,8562-7af2cc5e-87d7-48bd-a7e7-acfbe748a76a,"['kanzu', 'loose-fitting', 'importance', 'symbol', 'events', 'weddings', 'holidays', 'completes', 'decorative', 'skill', 'lightweight', 'culture', 'reaches', 'charm', 'coastal', 'rich', 'Skilled', 'traditional', 'infusing', 'blend']",1,20
african-kanzu,entertaining,2538-0a52f3f1-aee0-4ab1-a804-98a0569c7d0f,"['traditional', 'and', 'dignified', 'garment', 'during', 'prayer', 'and', 'special', 'occasions', 'Swahili', 'culture', 'religious', 'holidays', 'cotton', 'or', 'linen', 'kofia']",2,17
african-kanzu,entertaining,0326-6ddab4a5-b49d-46d2-96c6-780ae5467fe0,"['African', 'kanzu', 'long', 'tunic-like', 'shirt', 'East', 'Africa', 'Kenya', 'Tanzania', 'and', 'Uganda', 'the', 'kanzu', 'Muslim', 'men', 'religious', 'holidays', 'embroidery', 'lightweight', 'breathable']",1,20
african-kanzu,entertaining,4605-41c07a0a-55cc-4b6b-b109-c4b8de6b32cf,"['traditional', 'garment', 'flowing', 'and', 'loose-fitting', 'design', 'Islamic', 'culture', 'weddings', 'Eid', 'al-Fitr', 'Eid', 'al-Adha', 'fabrics', 'kofia']",2,15
african-kanzu,entertaining,1794-613cf123-bf5d-41d9-b56a-340f06030d33,"['African', 'kanzu', 'regions', 'of', 'East', 'Africa', 'adopted', 'as', 'formal', 'attire', 'significant', 'life', 'events', 'kofia', 'worn', 'by', 'Muslim', 'men', 'during', 'prayer']",1,20
african-kanzu,entertaining,6197-cb1bf160-03bf-4995-a339-c67ef59bd4cf,"['clean', 'lines', 'and', 'modest', 'silhouette', 'traditional', 'sewing', 'techniques', 'significant', 'life', 'events', 'decorative', 'elements', 'symbol', 'of', 'cultural', 'pride']",2,17
african-kanzu,entertaining,6602-46ddeff6-79af-405f-ad83-2cd5626e66d4,"['traditional', 'and', 'dignified', 'garment', 'long', 'tunic-like', 'shirt', 'that', 'reaches', 'down', 'to', 'the', 'ankles', 'often', 'worn', 'by', 'Muslim', 'men', 'during', 'prayer']",1,20
african-kanzu,entertaining,3380-4c309f64-0ab0-4da5-a13b-36aecba8279d,"['significant', 'life', 'religious', 'holidays', 'subtle', 'embroidery', 'decorative', 'elements', 'events', 'religious', 'holidays', 'weddings', 'symbolizing', 'grooms', 'formal', 'attire']",2,16
african-kanzu,entertaining,5759-934cd231-46a1-4ff2-9a5b-5b5cc71f1a16,"['African', 'kanzu', 'Kenya', 'Tanzania', 'and', 'Uganda', 'artisans', 'Islamic', 'culture', 'prayer', 'special', 'occasions', 'life', 'events', 'and', 'religious', 'holidays', 'weddings', 'fabrics', 'kofia']",1,20
african-kanzu,entertaining,5056-39e9937b-a61f-4f7e-8b6e-d0ce47ac3f94,"['flowing', 'and', 'loose-fitting', 'ankles', 'lightweight', 'and', 'breathable', 'fabrics', 'decorative', 'embellishments', 'cap', 'silhouette', 'artisans', 'sewing', 'coastal', 'areas', 'special', 'occasions', 'celebrations', 'weddings']",2,20
african-kanzu,entertaining,5048-467047d9-a0a7-44f4-808d-8b5629676967,"['loose-fitting', 'design', 'charm', 'holidays', 'African', 'communities', 'climate', 'kanzu', 'embellishments', 'African', 'kanzu', 'Africa', 'Kenya', 'Tanzania', 'Uganda', 'men', 'Islamic', 'culture', 'East', 'African']",1,20
african-kanzu,entertaining,9465-a756d7d8-ff9e-410a-b40f-7b75e7d2af4a,"['garment', 'loose-fitting', 'breathable', 'climate', 'embroidery', 'kofia', 'matching', 'ankles', 'cap', 'charm', 'Swahili', 'Islamic', 'weddings', 'formal', 'occasion']",2,15
african-kanzu,entertaining,0725-be37099d-0823-478d-81fa-47916f8b7579,"['kanzu', 'matching', 'cap', 'East', 'Africa', 'comfort', 'and', 'functionality', 'comfort', 'and', 'functionality', 'Islamic', 'culture', 'Arabian', 'styles', 'prayer', 'special', 'occasions', 'special', 'occasions']",1,20
african-kanzu,entertaining,2673-bb7bad36-7cff-4263-a5ae-dc9199905c8c,"['African', 'kanzu', 'garment', 'Originating', 'from', 'the', 'coastal', 'regions', 'of', 'East', 'Africa', 'religious', 'holidays', 'kofia', 'influence', 'of', 'Islamic', 'culture']",2,18
african-kanzu,entertaining,1110-ae89b06a-a08f-4fff-b10d-d0fab90b31ab,"['African', 'kanzu', 'flowing', 'and', 'loose-fitting', 'Skilled', 'local', 'artisans', 'Muslim', 'men', 'prayer', 'weddings', 'Eid', 'al-Fitr', 'subtle', 'embroidery', 'kofia', 'subtle', 'embellishments']",1,19
african-kanzu,entertaining,9135-1b6a2d4c-3656-4401-af8c-b70114791681,"['garment', 'coastal', 'climate', 'Islamic', 'Arabian', 'pride', 'religious', 'events', 'cotton', 'embroidery', 'kofia', 'Eid', 'artisans', 'African', 'shirt', 'cap', 'modest', 'Swahili', 'sewing', 'comfort']",2,20
african-kanzu,entertaining,7461-4e956c54-6628-4f40-9fe4-de19313d4730,"['African', 'kanzu', 'subtle', 'embroidery', 'kofia', 'subtle', 'embellishments', 'artisans', 'Swahili', 'culture', 'traditional', 'sewing', 'techniques', 'Islamic', 'culture', 'weddings', 'Eid', 'al-Fitr', 'Eid', 'al-Adha']",1,20
african-kanzu,entertaining,2812-d7f281ba-b669-4b35-bbfc-4b5cd1584e93,"['garment', 'long', 'tunic-like', 'shirt', 'Kenya', 'Tanzania', 'Uganda', 'functionality', 'Islamic', 'culture', 'East', 'African', 'communities', 'symbol', 'of', 'cultural', 'pride']",2,17
