object,word,entertaining,informative,noun_entertaining,noun_informative,random_entertaining,random_informative,freq_entertaining,freq_informative,1sentence_entertaining,1sentence_informative,sentKey_entertaining,sentKey_informative,token_entertaining,token_informative,chatGPT_entertaining,chatGPT_informative
african-kanzu,Additionally,0.0,0.0,0.0,0.0,0.003703703703703704,0.004835164835164835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Africa,0.016993895396799207,0.026900016204829038,0.010074074074074074,0.01054945054945055,0.003851851851851852,0.0029304029304029304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,African,0.030523016003959742,0.033381947820450494,0.007407407407407408,0.008644688644688646,0.009777777777777778,0.008791208791208791,0.05362962962962963,0.05010989010989011,0.0,0.0,0.0,0.0,0.04992592592592593,0.048937728937728936,0.0,0.055384615384615386
african-kanzu,Arabian,0.015014024088434252,0.015718684167882028,0.01274074074074074,0.010256410256410256,0.003111111111111111,0.0041025641025641026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Crafting,0.0008249463784853984,0.001296386323124291,0.0,0.0,0.0044444444444444444,0.004981684981684982,0.0,0.0,0.022222222222222223,0.023736263736263738,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,East,0.0211186272892262,0.03208556149732621,0.010962962962962963,0.009084249084249084,0.009777777777777778,0.01098901098901099,0.05437037037037037,0.052307692307692305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046446886446886444
african-kanzu,Eid,0.0325028873123247,0.030627126883811376,0.011111111111111112,0.0068864468864468864,0.007851851851851851,0.006593406593406593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Islamic,0.018643788153770005,0.0285204991087344,0.010074074074074074,0.009523809523809525,0.004,0.003076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05377289377289377
african-kanzu,It,0.0,0.0,0.0,0.0,0.00962962962962963,0.01010989010989011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Kenya,0.006434581752186108,0.011343380327337546,0.009333333333333334,0.010402930402930404,0.003259259259259259,0.004249084249084249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05318681318681319
african-kanzu,Muslim,0.010889292196007259,0.010046994004213255,0.011111111111111112,0.009377289377289377,0.00637037037037037,0.006007326007326007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Originating,0.0011549249298795578,0.0019445794846864365,0.0,0.0,0.0025185185185185185,0.0032234432234432234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Over,0.0,0.0,0.0,0.0,0.0034074074074074076,0.0029304029304029304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Skilled,0.003134796238244514,0.0024307243558580457,0.0,0.0,0.0023703703703703703,0.00336996336996337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
