object,word,entertaining,informative,noun_entertaining,noun_informative,random_entertaining,random_informative,freq_entertaining,freq_informative,1sentence_entertaining,1sentence_informative,sentKey_entertaining,sentKey_informative,token_entertaining,token_informative,chatGPT_entertaining,chatGPT_informative
african-kanzu,Additionally,0.0,0.0,0.0,0.0,25.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Africa,103.0,166.0,68.0,72.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,African,185.0,206.0,50.0,59.0,66.0,60.0,362.0,342.0,0.0,0.0,0.0,0.0,337.0,334.0,0.0,378.0
african-kanzu,Arabian,91.0,97.0,86.0,70.0,21.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Crafting,5.0,8.0,0.0,0.0,30.0,34.0,0.0,0.0,150.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,East,128.0,198.0,74.0,62.0,66.0,75.0,367.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0
african-kanzu,Eid,197.0,189.0,75.0,47.0,53.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Islamic,113.0,176.0,68.0,65.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0
african-kanzu,It,0.0,0.0,0.0,0.0,65.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Kenya,39.0,70.0,63.0,71.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0
african-kanzu,Muslim,66.0,62.0,75.0,64.0,43.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Originating,7.0,12.0,0.0,0.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Over,0.0,0.0,0.0,0.0,23.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Skilled,19.0,15.0,0.0,0.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Swahili,103.0,136.0,70.0,59.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0
african-kanzu,Tanzania,40.0,68.0,62.0,59.0,16.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0
african-kanzu,The,0.0,0.0,0.0,0.0,151.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,These,0.0,0.0,0.0,0.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,Uganda,40.0,67.0,61.0,78.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0
african-kanzu,a,0.0,0.0,0.0,0.0,174.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,accompanying,9.0,8.0,0.0,0.0,22.0,21.0,0.0,0.0,191.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,adopted,3.0,3.0,0.0,0.0,17.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,adorned,13.0,8.0,0.0,0.0,49.0,52.0,0.0,0.0,321.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,al-Adha,86.0,86.0,73.0,62.0,28.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,al-Fitr,105.0,99.0,73.0,72.0,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,along,2.0,2.0,0.0,0.0,23.0,26.0,0.0,0.0,166.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,also,0.0,0.0,0.0,0.0,31.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,and,0.0,0.0,0.0,0.0,399.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,ankles,32.0,26.0,73.0,78.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,317.0,344.0,0.0
african-kanzu,are,0.0,0.0,0.0,0.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,areas,16.0,16.0,77.0,75.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,artisans,70.0,59.0,50.0,74.0,77.0,55.0,337.0,355.0,176.0,164.0,229.0,243.0,0.0,0.0,338.0,0.0
african-kanzu,as,0.0,0.0,0.0,0.0,62.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,attention,5.0,1.0,61.0,66.0,40.0,55.0,0.0,0.0,156.0,163.0,257.0,254.0,0.0,0.0,0.0,0.0
african-kanzu,attire,48.0,30.0,56.0,68.0,41.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0
african-kanzu,back,1.0,3.0,0.0,0.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,be,0.0,0.0,0.0,0.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,became,2.0,2.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,blend,12.0,17.0,57.0,77.0,27.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,breathable,46.0,57.0,77.0,64.0,25.0,23.0,0.0,0.0,165.0,186.0,258.0,258.0,0.0,0.0,0.0,0.0
african-kanzu,by,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,can,0.0,0.0,0.0,0.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,cap,122.0,139.0,60.0,58.0,30.0,39.0,0.0,0.0,167.0,165.0,264.0,259.0,334.0,324.0,322.0,0.0
african-kanzu,celebrations,64.0,35.0,48.0,74.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,ceremonies,60.0,52.0,70.0,61.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0
african-kanzu,characterized,7.0,11.0,0.0,0.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,charm,28.0,7.0,71.0,85.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0
african-kanzu,clean,39.0,19.0,66.0,66.0,26.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0
african-kanzu,climate,48.0,42.0,63.0,68.0,41.0,38.0,340.0,358.0,148.0,176.0,269.0,239.0,0.0,0.0,0.0,0.0
african-kanzu,coastal,54.0,69.0,68.0,63.0,40.0,50.0,328.0,314.0,0.0,0.0,0.0,0.0,360.0,335.0,0.0,329.0
african-kanzu,collar,17.0,16.0,72.0,80.0,18.0,34.0,0.0,0.0,153.0,159.0,257.0,256.0,312.0,351.0,0.0,0.0
african-kanzu,comfort,23.0,19.0,66.0,64.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,communities,24.0,18.0,57.0,61.0,50.0,38.0,332.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,completes,2.0,1.0,0.0,0.0,24.0,24.0,0.0,0.0,171.0,165.0,264.0,250.0,0.0,0.0,0.0,0.0
african-kanzu,consists,4.0,3.0,0.0,0.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,cotton,66.0,88.0,77.0,84.0,22.0,17.0,0.0,0.0,164.0,165.0,211.0,238.0,314.0,349.0,0.0,0.0
african-kanzu,countries,5.0,5.0,65.0,76.0,21.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,335.0,0.0,0.0
african-kanzu,crafting,14.0,9.0,0.0,0.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0
african-kanzu,cuffs,14.0,12.0,55.0,61.0,24.0,29.0,0.0,0.0,146.0,175.0,265.0,263.0,325.0,322.0,0.0,0.0
african-kanzu,cultural,72.0,47.0,65.0,82.0,47.0,44.0,335.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,culture,155.0,240.0,78.0,75.0,36.0,41.0,329.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0
african-kanzu,decorative,58.0,30.0,66.0,65.0,21.0,17.0,0.0,0.0,171.0,164.0,234.0,251.0,0.0,0.0,0.0,0.0
african-kanzu,design,96.0,88.0,66.0,85.0,50.0,58.0,341.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0
african-kanzu,detail,6.0,4.0,0.0,0.0,22.0,27.0,0.0,0.0,186.0,154.0,254.0,274.0,0.0,0.0,0.0,0.0
african-kanzu,dignified,51.0,46.0,74.0,67.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0
african-kanzu,down,0.0,0.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,during,0.0,0.0,0.0,0.0,84.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,elements,45.0,30.0,83.0,56.0,31.0,20.0,0.0,0.0,184.0,163.0,270.0,235.0,0.0,0.0,0.0,0.0
african-kanzu,embellishments,43.0,21.0,67.0,76.0,24.0,23.0,0.0,0.0,175.0,166.0,258.0,237.0,0.0,0.0,0.0,0.0
african-kanzu,embroidery,109.0,92.0,63.0,57.0,19.0,21.0,0.0,0.0,192.0,169.0,235.0,252.0,318.0,321.0,0.0,0.0
african-kanzu,ensemble,2.0,0.0,83.0,87.0,27.0,24.0,0.0,0.0,180.0,200.0,226.0,239.0,0.0,0.0,0.0,0.0
african-kanzu,events,64.0,81.0,69.0,78.0,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,fabric,13.0,7.0,76.0,58.0,25.0,26.0,0.0,0.0,154.0,177.0,229.0,239.0,0.0,0.0,0.0,0.0
african-kanzu,fabrics,66.0,81.0,53.0,73.0,22.0,23.0,0.0,0.0,166.0,179.0,245.0,292.0,358.0,335.0,0.0,0.0
african-kanzu,flowing,107.0,84.0,63.0,65.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0
african-kanzu,for,0.0,0.0,0.0,0.0,81.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,formal,54.0,35.0,72.0,79.0,46.0,48.0,342.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,from,0.0,0.0,0.0,0.0,37.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,functionality,22.0,24.0,69.0,81.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,garment,74.0,97.0,56.0,63.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,339.0,360.0,0.0
african-kanzu,garments,11.0,7.0,0.0,0.0,45.0,42.0,336.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,grooms,30.0,17.0,68.0,71.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,345.0,0.0,312.0
