object,goal,mean_Nwords_perHighlight,mean_ci_lower,mean_ci_upper
african-kanzu,entertaining,1.6987654320987655,1.5728395061728395,1.837037037037037
african-kanzu,informative,1.6104513064133017,1.484560570071259,1.7554038004750594
almas-caviar,entertaining,1.6395061728395062,1.5160493827160493,1.785246913580247
almas-caviar,informative,1.6405063291139241,1.493607594936709,1.7873417721518987
cuenca,entertaining,1.9416666666666667,1.7499305555555555,2.1555555555555554
cuenca,informative,1.8157894736842106,1.6605263157894736,1.981578947368421
dugong,entertaining,1.8153034300791557,1.6569920844327177,1.9841688654353562
dugong,informative,1.7416020671834624,1.599418604651163,1.8863695090439276
indonesian-kebaya,entertaining,1.588235294117647,1.4705882352941178,1.7240384615384616
indonesian-kebaya,informative,1.596244131455399,1.483568075117371,1.7371478873239437
kopi-luwak,entertaining,1.7950819672131149,1.6556693989071039,1.970013661202186
kopi-luwak,informative,1.7239583333333333,1.5884765625000001,1.8671875
lichinga,entertaining,1.7603092783505154,1.6185567010309279,1.9304123711340206
lichinga,informative,1.7216494845360826,1.5876288659793814,1.8685567010309279
mongolian-deel,entertaining,1.6009280742459397,1.4779582366589328,1.740197215777262
mongolian-deel,informative,1.6791044776119404,1.569589552238806,1.820957711442786
murnong,entertaining,1.651105651105651,1.5281941031941033,1.800982800982801
murnong,informative,1.6564102564102565,1.528205128205128,1.8026282051282052
saola,entertaining,1.692874692874693,1.542997542997543,1.8674447174447173
saola,informative,1.6974358974358974,1.5538461538461539,1.851346153846154
vaquita,entertaining,1.9065934065934067,1.7115384615384615,2.1239010989010985
vaquita,informative,1.6987341772151898,1.564493670886076,1.8253164556962025
vilnius,entertaining,1.6415094339622642,1.5117924528301887,1.7972287735849057
vilnius,informative,1.6699507389162562,1.564039408866995,1.7758620689655173
